id	drugName	condition	rating	date	usefulCount
102654	Aripiprazole	Bipolar Disorde	10.0	March 14, 2015	32.0
81890	Liraglutide	Obesity	9.0	January 19, 2017	20.0
212077	Lamotrigine	Bipolar Disorde	10.0	November 9, 2014	18.0
231466	Trazodone	Insomnia	10.0	April 3, 2016	43.0
227020	Etonogestrel	Birth Control	9.0	August 11, 2014	11.0
78563	Daytrana	ADHD	10.0	January 12, 2017	11.0
96233	Sertraline	Depression	8.0	May 7, 2011	3.0
204999	Toradol	Pain	10.0	February 11, 2013	16.0
93678	Morphine	Pain	8.0	May 8, 2010	19.0
39795	Contrave	Obesity	8.0	November 4, 2015	9.0
121333	Venlafaxine	Depression	4.0	April 27, 2016	3.0
188061	Symbyax	Bipolar Disorde	8.0	October 17, 2010	22.0
135645	Intuniv	ADHD	1.0	July 21, 2011	23.0
69629	Buprenorphine	Pain	8.0	June 24, 2011	125.0
87285	Latuda	Bipolar Disorde	8.0	February 20, 2012	39.0
106703	Implanon	Birth Control	2.0	August 20, 2015	1.0
69488	Buprenorphine	Pain	10.0	August 6, 2015	47.0
107449	Implanon	Birth Control	1.0	September 1, 2011	2.0
60156	NuvaRing	Birth Control	5.0	April 18, 2013	9.0
24139	Tretinoin	Acne	10.0	November 4, 2015	13.0
144224	Etonogestrel	Birth Control	10.0	May 27, 2016	1.0
109866	Nexplanon	Birth Control	6.0	June 19, 2016	1.0
131041	Levonorgestrel	Birth Control	1.0	January 18, 2010	10.0
202401	Lithium	Bipolar Disorde	10.0	August 23, 2016	27.0
43085	Sronyx	Birth Control	3.0	April 28, 2016	3.0
102810	Aripiprazole	Depression	4.0	August 17, 2012	33.0
60280	NuvaRing	Birth Control	5.0	October 31, 2011	0.0
10677	Spironolactone	Acne	9.0	August 21, 2013	31.0
196244	Fluvoxamine	Anxiety and Stress	9.0	January 3, 2011	44.0
163567	Mirtazapine	Anxiety	8.0	March 17, 2015	72.0
137538	Isotretinoin	Acne	7.0	April 6, 2009	10.0
116910	Lamictal	Bipolar Disorde	9.0	October 28, 2013	46.0
166891	Levonorgestrel	Birth Control	10.0	July 14, 2016	1.0
160750	Buspirone	Anxiety	9.0	March 12, 2011	9.0
65646	Propranolol	Anxiety	10.0	April 8, 2017	40.0
61002	Focalin	ADHD	9.0	January 31, 2010	48.0
58547	Jolivette	Birth Control	8.0	March 12, 2013	10.0
195482	Aviane	Birth Control	9.0	June 4, 2016	3.0
144777	Etonogestrel	Birth Control	3.0	January 27, 2016	0.0
185739	Saxenda	Obesity	1.0	February 19, 2016	17.0
51480	Aczone	Acne	8.0	November 21, 2016	7.0
198581	Depo-Provera	Birth Control	6.0	November 13, 2017	1.0
179311	Olanzapine	Bipolar Disorde	9.0	October 24, 2014	9.0
63453	Epiduo	Acne	3.0	December 12, 2015	1.0
227293	Etonogestrel	Birth Control	9.0	September 29, 2013	8.0
130867	Levonorgestrel	Birth Control	2.0	June 26, 2011	2.0
157915	Accutane	Acne	9.0	August 11, 2010	9.0
186257	Desvenlafaxine	Depression	10.0	March 10, 2013	101.0
165523	Levonorgestrel	Birth Control	3.0	May 24, 2017	4.0
45238	Fluoxetine	Depression	1.0	January 11, 2016	19.0
143971	Etonogestrel	Birth Control	5.0	August 8, 2016	6.0
225257	Bupropion	Depression	7.0	October 8, 2015	0.0
98258	Nexplanon	Birth Control	4.0	June 4, 2015	4.0
226866	Etonogestrel	Birth Control	9.0	December 26, 2014	104.0
182370	Mirena	Birth Control	9.0	July 21, 2010	4.0
94168	Trintellix	Depression	5.0	November 3, 2015	28.0
130582	Levonorgestrel	Birth Control	10.0	May 7, 2012	1.0
229692	Lurasidone	Bipolar Disorde	7.0	June 27, 2013	36.0
37843	Reclipsen	Birth Control	6.0	May 24, 2016	3.0
224842	Bupropion	Depression	10.0	January 2, 2017	14.0
149508	Mirena	Birth Control	10.0	January 14, 2013	16.0
147353	Alprazolam	Anxiety	10.0	October 28, 2011	4.0
124114	Skyla	Birth Control	6.0	May 25, 2016	1.0
218840	Depakote	Bipolar Disorde	1.0	October 4, 2016	35.0
37533	Vyvanse	ADHD	9.0	August 31, 2011	11.0
180783	Solodyn	Acne	8.0	June 20, 2012	12.0
58467	Jolivette	Birth Control	8.0	November 3, 2017	1.0
45291	Fluoxetine	Depression	8.0	February 1, 2016	5.0
232066	Trazodone	Depression	7.0	July 25, 2008	99.0
39880	Contrave	Obesity	8.0	September 6, 2015	29.0
205953	Pristiq	Depression	6.0	December 5, 2009	13.0
